2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Sơ bộ 2018
914000.84,1061564.52,1246769.29,1616047.13,1809148.95,2157828,2779880,3245419,3584262,3937856,4192862,4502732.99,5005975.49,5542331.87
343883,389533,440687,566812,628074,633187,806425,953789,1039725,1131319,1202850,1297274,1433139,1533458.73
431548,501432,594617,767632,867810,926928,1219625,1448171,1559741,1706441,1812152,1916263,2089784,2332245.09
60781,67813,76000,95504,104937,86000,110679,129821,144296,158964,167913,176510,188096,207504.91
77731,95353,120800,165347,189226,148919,204001,258598,278699,306857,330590,369434,432491,504352.2
293036,338265,397817,506780,573647,692009,904945,1059752,1136746,1240620,1313649,1370319,1469197,1620387.99
138570,170600,211465,281604,313265,326967,435392,520410,622421,704341,757550,837093,982678,1124183.63
176402,198797,232586,329886,346786,396576,543960,623815,643862,696969,712460,734830,768161,813723.69
88897,99702,111700,146607,165310,204544,274321,370617,394468,426184,402869,365522,373932,408227.59
172045,205739,241629,300256,331093,279360,371242,431144,477968,518962,574201,642338,767495,886579.66
29785,33857,40187,49136,61665,65721,81077,97311,115280,142060,167402,188876,217443,250806.09
4516,5801,6922,7497,8085,11107,13640,15280,17883,19526,21556,23541,25946,28192.75
53276,64503,79712,95696,110255,132618,156077,174739,184020,201203,228102,252794,287137,323465.83
111745,130432,153660,208366,240577,172608,235024,299536,339275,387749,425543,472942,536259,602583.59
28013,33516,39093,50749,55378,62064,79135,93258,102596,112351,114558,120728,133073,149478.38
29329,35861,44992,57067,67394,77800,101943,118140,134454,147720,155590,171195,191743,209390.06
9998,11812,13778,17593,19349,19895,21090,22781,24652,26974,29392,31840,34293,37793.14
47825,55869,65861,86356,100324,116515,148453,171172,195016,207083,230149,248598,273809,295443.88
61413,70501,83322,102920,115351,131692,163107,178473,189508,202103,212882,228684,239869,253869.66
12908,14450,16975,21528,24291,28004,35333,41412,47399,51166,55574,59762,64258,69340.96
3865,4358,5127,6443,7154,7881,10054,11768,13504,14761,15829,17263,18729,20410.64
23038,26737,31310,41279,47042,55194,70109,82187,94393,106127,114186,125399,137635,150003.64
26948,30718,34843,38261,42780,50237,66384,84070,105121,120696,136699,154718,177620,203193.23
12262,13922,15964,18946,21276,23335,26552,33402,58641,66204,72206,96949,132507,151541.51
6319,7177,8253,9986,13053,14592,16819,18684,21220,23047,24969,27128,29990,32418.15
13998,16173,18927,24923,29087,34396,43372,50164,57607,65463,71946,80286,87620,94300.87
1421,1640,1927,2551,2898,2944,3750,4417,5022,5753,6439,7236,8082,9124.15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,