"Tổng sản phẩm trong nước theo giá thực tế phân theo thành phần kinh tế và phân theo ngành kinh tế (*) chia theo Loại hình, Chỉ tiêu và Năm"

" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"Sơ bộ 2018"
"Giá trị (Tỷ đồng)"
" ";"TỔNG SỐ";914000.84;1061564.52;1246769.29;1616047.13;1809148.95;2157828.00;2779880.00;3245419.00;3584262.00;3937856.00;4192862.00;4502732.99;5005975.49;5542331.87
" ";"Thành phần kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"  Kinh tế Nhà nước";343883.00;389533.00;440687.00;566812.00;628074.00;633187.00;806425.00;953789.00;1039725.00;1131319.00;1202850.00;1297274.00;1433139.00;1533458.73
" ";"  Kinh tế ngoài Nhà nước";431548.00;501432.00;594617.00;767632.00;867810.00;926928.00;1219625.00;1448171.00;1559741.00;1706441.00;1812152.00;1916263.00;2089784.00;2332245.09
" ";"Kinh tế tập thể";60781.00;67813.00;76000.00;95504.00;104937.00;86000.00;110679.00;129821.00;144296.00;158964.00;167913.00;176510.00;188096.00;207504.91
" ";"Kinh tế tư nhân";77731.00;95353.00;120800.00;165347.00;189226.00;148919.00;204001.00;258598.00;278699.00;306857.00;330590.00;369434.00;432491.00;504352.20
" ";"Kinh tế cá thể";293036.00;338265.00;397817.00;506780.00;573647.00;692009.00;904945.00;1059752.00;1136746.00;1240620.00;1313649.00;1370319.00;1469197.00;1620387.99
" ";"  Khu vực có vốn đầu tư nước ngoài";138570.00;170600.00;211465.00;281604.00;313265.00;326967.00;435392.00;520410.00;622421.00;704341.00;757550.00;837093.00;982678.00;1124183.63
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm.";..;..;..;..;..;270746.00;318438.00;323049.00;362375.00;395755.00;420310.00;452103.00;500374.00;552444.41
" ";"Ngành kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Nông nghiệp, lâm nghiệp và thủy sản";176402.00;198797.00;232586.00;329886.00;346786.00;396576.00;543960.00;623815.00;643862.00;696969.00;712460.00;734830.00;768161.00;813723.69
" ";"Khai khoáng";88897.00;99702.00;111700.00;146607.00;165310.00;204544.00;274321.00;370617.00;394468.00;426184.00;402869.00;365522.00;373932.00;408227.59
" ";"Công nghiệp chế biến, chế tạo";172045.00;205739.00;241629.00;300256.00;331093.00;279360.00;371242.00;431144.00;477968.00;518962.00;574201.00;642338.00;767495.00;886579.66
" ";"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";29785.00;33857.00;40187.00;49136.00;61665.00;65721.00;81077.00;97311.00;115280.00;142060.00;167402.00;188876.00;217443.00;250806.09
" ";"Cung cấp nước; hoạt động quản lý và xử lư rác thải, nước thải";4516.00;5801.00;6922.00;7497.00;8085.00;11107.00;13640.00;15280.00;17883.00;19526.00;21556.00;23541.00;25946.00;28192.75
" ";"Xây dựng";53276.00;64503.00;79712.00;95696.00;110255.00;132618.00;156077.00;174739.00;184020.00;201203.00;228102.00;252794.00;287137.00;323465.83
" ";"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";111745.00;130432.00;153660.00;208366.00;240577.00;172608.00;235024.00;299536.00;339275.00;387749.00;425543.00;472942.00;536259.00;602583.59
" ";"Vận tải, kho bãi";28013.00;33516.00;39093.00;50749.00;55378.00;62064.00;79135.00;93258.00;102596.00;112351.00;114558.00;120728.00;133073.00;149478.38
" ";"Dịch vụ lưu trú và ăn uống";29329.00;35861.00;44992.00;57067.00;67394.00;77800.00;101943.00;118140.00;134454.00;147720.00;155590.00;171195.00;191743.00;209390.06
" ";"Thông tin và truyền thông";9998.00;11812.00;13778.00;17593.00;19349.00;19895.00;21090.00;22781.00;24652.00;26974.00;29392.00;31840.00;34293.00;37793.14
" ";"Hoạt động tài chính, ngân hàng và bảo hiểm";47825.00;55869.00;65861.00;86356.00;100324.00;116515.00;148453.00;171172.00;195016.00;207083.00;230149.00;248598.00;273809.00;295443.88
" ";"Hoạt động kinh doanh bất động sản";61413.00;70501.00;83322.00;102920.00;115351.00;131692.00;163107.00;178473.00;189508.00;202103.00;212882.00;228684.00;239869.00;253869.66
" ";"Hoạt động chuyên môn, khoa học và công nghệ";12908.00;14450.00;16975.00;21528.00;24291.00;28004.00;35333.00;41412.00;47399.00;51166.00;55574.00;59762.00;64258.00;69340.96
" ";"Hoạt động hành chính và dịch vụ hỗ trợ";3865.00;4358.00;5127.00;6443.00;7154.00;7881.00;10054.00;11768.00;13504.00;14761.00;15829.00;17263.00;18729.00;20410.64
" ";"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";23038.00;26737.00;31310.00;41279.00;47042.00;55194.00;70109.00;82187.00;94393.00;106127.00;114186.00;125399.00;137635.00;150003.64
" ";"Giáo dục và đào tạo";26948.00;30718.00;34843.00;38261.00;42780.00;50237.00;66384.00;84070.00;105121.00;120696.00;136699.00;154718.00;177620.00;203193.23
" ";"Y tế và hoạt động trợ giúp xã hội";12262.00;13922.00;15964.00;18946.00;21276.00;23335.00;26552.00;33402.00;58641.00;66204.00;72206.00;96949.00;132507.00;151541.51
" ";"Nghệ thuật, vui chơi và giải trí";6319.00;7177.00;8253.00;9986.00;13053.00;14592.00;16819.00;18684.00;21220.00;23047.00;24969.00;27128.00;29990.00;32418.15
" ";"Hoạt động dịch vụ khác";13998.00;16173.00;18927.00;24923.00;29087.00;34396.00;43372.00;50164.00;57607.00;65463.00;71946.00;80286.00;87620.00;94300.87
" ";"Hoạt động làm thuê các công việc trong các hộ gia đ́nh, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình";1421.00;1640.00;1927.00;2551.00;2898.00;2944.00;3750.00;4417.00;5022.00;5753.00;6439.00;7236.00;8082.00;9124.15
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm";..;..;..;..;..;270746.00;318438.00;323049.00;362375.00;395755.00;420310.00;452103.00;500374.00;552444.41

"(*) Bắt đầu từ năm 2010 giá trị tăng thêm của các khu vực kinh "
"tế được tính theo giá cơ bản."

